ID,Timestamp,Action,Posture Status,Back Angle,Water Intake,Break Taken,Activity,Forward Lean,Shoulder Alignment,Session Status,Game
1,2025-01-23 13:08:44,Aggregated Posture: Slouching,Slouching,,,,,,,Running,WhatsApp.exe
2,2025-01-23 13:09:10,Session started,,,,,,,,Started,
3,2025-01-23 13:09:14,Aggregated Posture: Good Posture,Good Posture,174.56704920568376,,,,0.09258449077606201,0.0003400444984436035,Running,WhatsApp.exe
4,2025-01-23 13:09:44,Aggregated Posture: Forward Head Posture,Forward Head Posture,173.65978466184768,,,,0.10956400632858276,0.006472110748291016,Running,WhatsApp.exe
5,2025-01-23 13:10:14,Aggregated Posture: Forward Head Posture,Forward Head Posture,173.1673728601028,,,,0.11246442794799805,0.019317805767059326,Running,WhatsApp.exe
6,2025-01-23 13:10:44,Aggregated Posture: Forward Head Posture,Forward Head Posture,174.75231185353357,,,,0.12616980075836182,0.007273256778717041,Running,
7,2025-01-23 13:11:14,Aggregated Posture: Good Posture,Good Posture,173.94191687277865,,,,0.08667659759521484,0.013940036296844482,Running,
8,2025-01-23 13:11:44,Aggregated Posture: Slouching,Slouching,169.234567,0,0,,0.105678,0.015678,Running,Valorant.exe
9,2025-01-23 13:12:14,Aggregated Posture: Good Posture,Good Posture,175.123456,0,0,,0.089123,0.012345,Running,
10,2025-01-23 13:12:44,Aggregated Posture: Forward Head Posture,Forward Head Posture,172.987654,0,0,,0.115678,0.018765,Running,LeagueClient.exe
11,2025-01-23 13:13:14,Aggregated Posture: Slouching,Slouching,168.765432,0,0,,0.110987,0.020123,Running,CSGO.exe
12,2025-01-23 13:13:44,Aggregated Posture: Good Posture,Good Posture,174.876543,0,0,,0.091234,0.014567,Running,
13,2025-01-23 13:14:14,Aggregated Posture: Forward Head Posture,Forward Head Posture,173.456789,0,0,,0.118765,0.019876,Running,Solitaire.exe
14,2025-01-23 13:14:44,Aggregated Posture: Slouching,Slouching,169.876543,0,0,,0.107654,0.016789,Running,
15,2025-01-23 13:15:14,Aggregated Posture: Good Posture,Good Posture,175.234567,0,0,,0.090123,0.013456,Running,
16,2025-01-23 13:15:44,Aggregated Posture: Forward Head Posture,Forward Head Posture,172.654321,0,0,,0.116789,0.017654,Running,WhatsApp.exe
17,2025-01-23 13:16:14,Aggregated Posture: Slouching,Slouching,168.54321,0,0,,0.111234,0.021234,Running,Valorant.exe
18,2025-01-23 13:16:44,Aggregated Posture: Good Posture,Good Posture,174.345678,0,0,,0.092345,0.015678,Running,
19,2025-01-23 13:17:14,Aggregated Posture: Forward Head Posture,Forward Head Posture,173.123456,0,0,,0.119876,0.020987,Running,LeagueClient.exe
20,2025-01-23 13:17:44,Aggregated Posture: Slouching,Slouching,169.987654,0,0,,0.108765,0.01789,Running,CSGO.exe
21,2025-01-23 13:18:14,Aggregated Posture: Good Posture,Good Posture,175.345678,0,0,,0.093456,0.014789,Running,
22,2025-01-23 13:18:44,Aggregated Posture: Forward Head Posture,Forward Head Posture,172.876543,0,0,,0.11789,0.018765,Running,Solitaire.exe
23,2025-01-23 13:19:14,Aggregated Posture: Slouching,Slouching,169.654321,0,0,,0.109876,0.019876,Running,
24,2025-01-23 13:19:44,Aggregated Posture: Good Posture,Good Posture,174.56789,0,0,,0.094567,0.016789,Running,
25,2025-01-23 13:20:14,Aggregated Posture: Forward Head Posture,Forward Head Posture,173.234567,0,0,,0.120987,0.021234,Running,WhatsApp.exe
26,2025-01-23 13:21:14,Hydration reminder sent,,,1,0,,,,Running,WhatsApp.exe
27,2025-01-23 13:22:14,Break reminder sent,,,0,1,,,,Running,WhatsApp.exe
28,2025-01-23 13:23:14,Aggregated Posture: Good Posture,Good Posture,175.56789,0,0,,0.095678,0.01789,Running,WhatsApp.exe
29,2025-01-23 13:24:14,Aggregated Posture: Slouching,Slouching,170.123456,0,0,,0.110987,0.020123,Running,WhatsApp.exe
30,2025-01-23 13:25:14,Aggregated Posture: Forward Head Posture,Forward Head Posture,172.345678,0,0,,0.118765,0.019876,Running,WhatsApp.exe
31,2025-01-24 10:09:46,Aggregated Posture: Slouching,Slouching,6.208432897359055,,,,0.09551936388015747,0.0298919677734375,Running,WhatsApp.exe
32,2025-01-24 10:10:16,Aggregated Posture: Forward Head Posture,Forward Head Posture,175.67127519622358,,,,0.1110154390335083,0.01130974292755127,Running,WhatsApp.exe
33,2025-01-24 10:10:17,Session started,,,,,,,,Started,
34,2025-01-24 10:10:23,Session stopped,,,,,,,,Stopped,
35,2025-01-24 10:17:18,"Aggregated Posture: Slouching, Forward Head Posture",Slouching,170.8554378172733,,,,0.08510351181030273,0.009351491928100586,Running,WhatsApp.exe
36,2025-01-24 10:17:35,Session started,,,,,,,,Started,
37,2025-01-24 10:17:48,Aggregated Posture: Good Posture,Good Posture,176.92094259671643,,,,0.05870699882507324,0.004630088806152344,Running,WhatsApp.exe
38,2025-01-24 10:18:13,Session stopped,,,,,,,,Stopped,
39,2025-01-23 13:19:30,Aggregated Posture: Slouching,Slouching,162.37,1,0,,0.14,0.01,Running,WhatsApp.exe
40,2025-01-23 13:20:00,Aggregated Posture: Forward Head Posture,Forward Head Posture,170.81,0,0,,0.07,0.02,Running,LeagueClient.exe
41,2025-01-23 13:20:30,Aggregated Posture: Slouching,Slouching,161.13,0,0,,0.09,0.01,Running,Valorant.exe
42,2025-01-23 13:21:00,Aggregated Posture: Slouching,Slouching,174.79,0,0,,0.14,0.02,Running,Valorant.exe
43,2025-01-23 13:21:30,Aggregated Posture: Forward Head Posture,Forward Head Posture,173.05,0,1,,0.11,0.03,Running,LeagueClient.exe
